ref_date,acct_id,acct_sn,ccy_cd,l_s_type,value_date,opening_bal,closing_bal,inp_type,src_type,upd_userid,upd_datetime
"5925-02-08","748","RBC TOR (NOSTRO)","CAD","S","2005-09-06","0.00","32085.92","1","0","Margarit","2005-09-07 11:56:01"
"2200-12-31","161","ZZZZMUTB CAY","USD","L","2009-11-20","0.00","976691796.00","1","0","Margarit","2009-11-23 09:33:40"
"2029-12-31","37","FEDNY","USD","S","2011-12-22","0.00","2750212968.49","1","0","Georgine","2011-12-23 09:19:43"
"2022-02-22","1","DEUTSCHE BK TR NY","USD","L","2022-02-18","46064046.39","-2206009496.53","0","1","System","2022-03-14 09:38:22"
"2022-02-22","4","JP MORGAN CHASE NY","USD","L","2022-02-18","9058.95","1143058.95","0","1","System","2022-03-14 09:38:22"
"2022-02-22","7","MUTU NY 41","USD","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:22"
"2022-02-22","8","EUROCLEAR CUST BR","USD","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:22"
"2022-02-22","37","FEDNY","USD","L","2022-02-18","5401100000.00","5401100000.00","0","1","System","2022-03-14 09:38:22"
"2022-02-22","157","MUTB TOKYO ( USD )","USD","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:22"
"2022-02-22","444","MUTB LDN","GBP","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:22"
"2022-02-22","495","SKANDISTOCKHOLM","SEK","L","2022-02-18","114904.40","114904.40","0","1","System","2022-03-14 09:38:22"
"2022-02-22","504","DANSKE BANK COPENH","DKK","L","2022-02-18","23827.31","23827.31","0","1","System","2022-03-14 09:38:22"
"2022-02-22","511","DEN NOR BANK(DNB)","NOK","L","2022-02-18","76122.18","76122.18","0","1","System","2022-03-14 09:38:22"
"2022-02-22","516","WESTPACSYD","AUD","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:22"
"2022-02-22","522","EUROCLEAR CUST BR","JPY","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:22"
"2022-02-22","547","MUTB TOKYO (JPY)","JPY","L","2022-02-18","2143205536.00","2149166622.00","0","1","System","2022-03-14 09:38:22"
"2022-02-22","590","DEUTSCHFFT","EUR","L","2022-02-18","351487.41","351487.41","0","1","System","2022-03-14 09:38:22"
"2022-02-22","591","EUROCLEAR CUST BR - 1","EUR","L","2022-02-18","858.22","858.22","0","1","System","2022-03-14 09:38:22"
"2022-02-22","615","MUTB TOKYO ( EUR )","EUR","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:22"
"2022-02-22","649","BKOFNZWEL","NZD","L","2022-02-18","12623.08","12623.08","0","1","System","2022-03-14 09:38:22"
"2022-02-22","653","DEVELOP BK SPR SPR","SGD","L","2022-02-18","13238.11","13238.11","0","1","System","2022-03-14 09:38:23"
"2022-02-22","743","BTMU LONDON - GBP","GBP","L","2022-02-18","500.00","500.00","0","1","System","2022-03-14 09:38:23"
